# ⚠ 時效（2026-07-29）：本表的 cap 由 tau 與 gamma 推得，而 2026-07-28 的 EXACT_SUPPORT
#   （o<=1/255 從 binning 剔除，位元級無損）已使實際 tau 大幅下降 → **本表低估容量、需重生**。
#   實測參考：b12 在 K=1 下已可跑到 1.80M（峰值 5.63/6.1G）。
# 當前峰值模型 (2026-07-24): peak=N*(F*4*M+A)+(B*N+gamma*load)/K; F=25,M=4,A=500,B=1550,gamma=24,jac=1.4,K_max=8,safety=0.6
# cap_sb_dynK = 動態K下的 N 上限 (取代舊表; 舊表用 pre-B-term 公式高估 5-9x 會 OOM)
block,tau_max,cap_sb_dynK
0,94.9,1900000
1,113.4,1800000
2,36.3,2300000
3,5.5,2600000
4,9.2,2600000
5,119.7,1800000
6,105.2,1900000
7,44.6,2300000
8,8.7,2600000
9,17.3,2500000
10,98.2,1900000
11,97.7,1900000
12,80.5,2000000
13,81.9,2000000
14,92.9,1900000
15,67.0,2100000
16,72.5,2100000
17,87.5,2000000
18,74.8,2100000
19,94.2,1900000
20,91.2,2000000
21,92.8,1900000
22,119.7,1800000
23,94.9,1900000
24,102.8,1900000
