# ⚠ 時效（2026-07-29）：tau 量於 EXACT_SUPPORT 之前，且是用 gsplat 前向估的（非 trim）。
#   EXACT_SUPPORT 後實際 binding 相交數已降（固定 ckpt 實測 314M→240M）→ 本表偏高。
block,N_init,tau_mean,tau_max
0,122487,58.7,94.9
1,484834,61.7,113.4
2,1734064,12.9,36.3
3,2401740,4.4,5.5
4,1374133,6.9,9.2
5,287022,60.3,119.7
6,484566,63.2,105.2
7,1671391,10.2,44.6
8,1639036,5.2,8.7
9,1305389,7.9,17.3
10,631644,62.5,98.2
11,697524,59.8,97.7
12,1211537,40.1,80.5
13,1207925,35.9,81.9
14,1321084,30.4,92.9
15,699109,42.8,67.0
16,859407,52.7,72.5
17,722371,52.1,87.5
18,727705,53.4,74.8
19,846788,45.1,94.2
20,431818,52.9,91.2
21,562507,52.9,92.8
22,552904,64.3,119.7
23,574710,48.3,94.9
24,439730,50.8,102.8
