ranking,cut_pct,n_kept,psnr
contribution,0.0,900000,120.0000
contribution,10.0,810000,93.5282
contribution,20.0,720000,90.7603
contribution,30.0,630000,54.1152
contribution,40.0,540000,39.8450
contribution,50.0,450000,33.8876
contribution,60.0,360000,30.4104
contribution,70.0,270000,27.6642
contribution,80.0,180000,25.0305
contribution,90.0,90000,21.8737
random,0.0,900000,120.0000
random,10.0,810000,35.3146
random,20.0,720000,30.8100
random,30.0,630000,27.6786
random,40.0,540000,25.1447
random,50.0,450000,22.8071
random,60.0,360000,20.6994
random,70.0,270000,18.5213
random,80.0,180000,16.3873
random,90.0,90000,13.7179
