ranking,cut_pct,n_kept,psnr
contribution,0.0,900000,120.0000
contribution,5.0,855000,52.7499
contribution,10.0,810000,47.8074
contribution,15.0,765000,45.2122
contribution,20.0,720000,43.1901
contribution,25.0,675000,41.3305
contribution,30.0,630000,39.8118
contribution,40.0,540000,36.9498
contribution,50.0,450000,33.8941
contribution,70.0,270000,28.6124
contribution,90.0,90000,22.5755
random,0.0,900000,120.0000
random,5.0,855000,38.0704
random,10.0,810000,34.8903
random,15.0,765000,32.3691
random,20.0,720000,30.0894
random,25.0,675000,28.7511
random,30.0,630000,27.0609
random,40.0,540000,24.8711
random,50.0,450000,22.8330
random,70.0,270000,18.6341
random,90.0,90000,13.8567
