block,grid,views,local_median_px,local_p90_px,bad_pct
0,000_000,92,0.00,0.00,0.00
1,000_001,231,0.00,0.00,0.00
2,000_002,318,0.00,0.00,0.00
3,000_003,247,0.00,0.00,0.00
4,000_004,149,0.00,0.00,0.00
5,001_000,257,0.00,0.00,0.00
6,001_001,258,0.00,0.00,0.00
7,001_002,294,0.00,0.00,0.00
8,001_003,261,0.00,0.00,0.00
9,001_004,269,0.00,0.00,0.00
10,002_000,333,0.00,0.00,0.00
11,002_001,192,0.00,0.00,0.00
12,002_002,284,0.00,0.00,0.00
13,002_003,211,0.00,0.00,0.00
14,002_004,247,0.00,0.00,0.00
15,003_000,309,0.00,0.00,0.00
16,003_001,227,0.00,0.00,0.00
17,003_002,283,0.00,0.00,0.00
18,003_003,216,0.00,0.00,0.00
19,003_004,236,0.00,0.00,0.00
20,004_000,203,0.00,0.00,0.00
21,004_001,221,0.00,0.00,0.00
22,004_002,320,0.00,0.00,0.00
23,004_003,204,0.00,0.00,0.00
24,004_004,121,0.00,0.00,0.00
