run                    blk     PSNR    SSIM   LPIPS     紋理比     最差10%      建築低頻
sched30_b12             12   26.377  0.7711  0.3542  0.4690     18.49   0.02570
sched24_b12             12   26.324  0.7673  0.3612  0.4560     18.53   0.02518
combo_b12               12   26.321  0.7744  0.3516  0.5069     18.56   0.02550
cap30_b12               12   26.306  0.7733  0.3545  0.5093     18.55   0.02560
sched36_b12             12   26.166  0.7704  0.3572  0.5008     18.52   0.02660
blurcum_b12             12   26.092  0.7693  0.3605  0.4994     18.56   0.02756
coarsel1_b12            12   26.077  0.7664  0.3645  0.5005     18.53   0.02689
noprior_b12             12   26.050  0.7684  0.3631  0.4974     18.49   0.02762
sh3_nonormal_b12        12   25.828  0.7632  0.3734  0.4854     18.47   0.02829
sb4_b12                 12   25.799  0.7624  0.3728  0.4883     18.49   0.02893
sh3_nodepth_b12         12   25.675  0.7540  0.3918  0.4635     18.41   0.02849
npd_b12                 12   25.577  0.7762  0.3510  0.5095     18.23   0.03129
dssim05_b12             12   25.519  0.7709  0.3614  0.4959     18.29   0.03100
halfcap_b12             12   25.510  0.7458  0.4082  0.4338     18.33   0.02950
sh3_viewdep_refix_b12   12   25.435  0.7498  0.3990  0.4504     18.40   0.02938
sb_refix_b12            12   25.244  0.7428  0.4160  0.4362     18.46   0.03115
dssim08_b12             12   25.025  0.7727  0.3572  0.4995     18.06   0.03393
sched30_b7               7   24.993  0.8009  0.2554  0.6770     19.37   0.02195
scalereg_b7              7   24.860  0.7991  0.2576  0.6755     19.20   0.02237
best_b7                  7   24.817  0.7967  0.2614  0.6687     19.15   0.02265
sh3blur_b12             12   24.689  0.7022  0.4509  0.3936     16.55   0.04293
sh3_viewdep_b12         12   24.672  0.7025  0.4500  0.3921     16.51   0.04323
blurlr_b12              12   24.496  0.6958  0.4780  0.3623       nan       nan
lrfloor_b12             12   24.465  0.6921  0.4825  0.3618     17.09   0.04215
blursplit_b12           12   24.360  0.6886  0.4803  0.3592     17.16   0.04251
blurbudget_b12          12   24.353  0.6931  0.4674  0.3783     16.80   0.04454
cap4m_b12               12   24.307  0.6862  0.4825  0.3555     17.12   0.04277
blurlas_b12             12   24.224  0.6914  0.4678  0.3762       nan       nan
uniform_60k_b12         12   23.429  0.6564  0.5642  0.2781     16.17   0.04824
v1_refix_b12            12   22.605  0.6399  0.6432  0.1699     17.46   0.04483
uniform25m_24k_b12      12   22.182  0.6051  0.7039  0.0000       nan       nan
v1clean_24k_b12         12   22.022  0.6029  0.6997  0.0000       nan       nan
